iter	Passed	Remaining
402	13865	20539
403	13896	20500
404	13927	20461
405	13964	20430
406	13989	20382
407	14018	20340
408	14060	20317
409	14087	20271
410	14117	20231
411	14146	20189
412	14181	20155
413	14213	20117
414	14243	20077
415	14281	20049
416	14312	20010
417	14340	19966
418	14368	19924
419	14399	19884
420	14429	19845
421	14459	19804
422	14497	19775
423	14534	19745
424	14567	19708
425	14599	19671
426	14632	19635
427	14664	19597
428	14696	19560
429	14728	19523
430	14761	19487
431	14794	19451
432	14823	19411
433	14856	19375
434	14889	19339
435	14926	19308
436	14953	19265
437	14984	19227
438	15020	19194
439	15060	19168
440	15096	19135
441	15135	19107
442	15170	19074
443	15205	19040
444	15235	19001
445	15261	18957
446	15295	18922
447	15356	18921
448	15395	18892
449	15421	18848
450	15451	18809
451	15480	18768
452	15517	18736
453	15552	18704
454	15582	18664
455	15613	18627
456	15647	18592
457	15679	18554
458	15714	18521
459	15764	18506
460	15798	18471
461	15836	18442
462	15868	18404
463	15905	18373
464	15936	18335
465	15970	18300
466	16002	18264
467	16034	18227
468	16066	18190
469	16107	18163
470	16139	18127
471	16180	18100
472	16212	18063
473	16243	18025
474	16271	17984
475	16305	17949
476	16341	17917
477	16370	17877
478	16401	17839
479	16429	17798
480	16461	17761
481	16488	17719
482	16520	17683
483	16551	17645
484	16592	17618
485	16626	17584
486	16656	17546
487	16694	17515
488	16731	17484
489	16775	17460
490	16809	17425
491	16838	17385
492	16870	17349
493	16900	17310
494	16930	17272
495	16967	17241
496	17000	17205
497	17046	17183
498	17077	17145
499	17111	17111
500	17142	17074
501	17170	17034
502	17199	16994
503	17239	16965
504	17271	16929
505	17310	16900
506	17343	16864
507	17371	16824
508	17403	16787
509	17444	16760
510	17474	16721
511	17503	16682
512	17531	16643
513	17573	16616
514	17622	16595
515	17672	16576
516	17717	16552
517	17750	16517
518	17780	16478
519	17817	16447
520	17850	16411
521	17879	16372
522	17919	16343
523	17946	16302
524	17976	16264
525	18008	16227
526	18047	16197
527	18085	16167
528	18113	16127
529	18145	16091
530	18175	16053
531	18212	16021
532	18260	15999
533	18294	15964
534	18331	15932
535	18366	15899
536	18404	15868
537	18444	15838
538	18472	15799
539	18507	15765
540	18536	15727
541	18564	15687
542	18600	15654
543	18635	15620
544	18675	15591
545	18704	15553
546	18746	15525
547	18775	15486
548	18801	15445
549	18832	15408
550	18865	15372
551	18895	15335
552	18928	15300
553	18958	15262
554	18992	15228
555	19022	15190
556	19053	15153
557	19084	15117
558	19113	15078
559	19151	15047
560	19183	15011
561	19212	14973
562	19239	14933
563	19271	14897
564	19307	14864
565	19353	14840
566	19392	14809
567	19426	14775
568	19457	14738
569	19488	14702
570	19527	14671
571	19564	14639
572	19613	14616
573	19655	14587
574	19698	14559
575	19746	14535
576	19799	14515
577	19851	14493
578	19889	14461
579	19921	14426
580	19953	14390
581	19993	14359
582	20020	14320
583	20059	14288
584	20098	14257
585	20136	14225
586	20185	14202
587	20237	14180
588	20284	14154
589	20340	14135
590	20429	14138
591	20479	14114
592	20515	14080
593	20669	14127
594	20790	14151
595	20890	14160
