iter	RMSE
211	66.3367655
212	66.30362913
213	66.27432053
214	66.20345517
215	66.17168906
216	66.04775895
217	65.95027203
218	65.93576421
219	65.87398447
220	65.86106637
221	65.81654116
222	65.74676438
223	65.65565541
224	65.62523803
225	65.60873078
226	65.55706282
227	65.52589332
228	65.49247749
229	65.45105063
230	65.41148543
231	65.34822612
232	65.33560003
233	65.2945058
234	65.26360601
235	65.18983176
236	65.18102021
237	65.15250867
238	65.14204357
239	65.09633873
240	65.07752841
241	65.05225143
242	65.02919165
243	65.00574929
244	64.95046091
245	64.90555776
246	64.8424997
247	64.82738679
248	64.79600434
249	64.73932252
250	64.6997383
251	64.60137331
252	64.52275814
253	64.46559466
254	64.42939115
255	64.4213798
256	64.33859967
257	64.26442215
258	64.24272911
259	64.17646829
260	64.14643015
261	64.06745551
262	64.04970162
263	63.99498717
264	63.97955839
265	63.96411236
266	63.9476826
267	63.9258227
268	63.89597002
269	63.86095609
270	63.83255568
271	63.74967812
272	63.74075959
273	63.70541424
274	63.68705362
275	63.66431972
276	63.50156718
277	63.42951843
278	63.41610825
279	63.34739157
280	63.31930484
281	63.3018645
282	63.22986443
283	63.21831973
284	63.20529033
285	63.16128794
286	63.14089413
287	63.11515086
288	63.10547063
289	63.03573351
290	62.97295074
291	62.96066943
292	62.94090018
293	62.88474909
294	62.87425267
295	62.85145593
296	62.82515246
297	62.8027672
298	62.79027683
299	62.74834919
300	62.73606792
301	62.72653662
302	62.71422454
303	62.70921676
304	62.68801786
305	62.67289871
306	62.66061685
307	62.6401039
308	62.62967065
309	62.61291107
310	62.58154147
311	62.57223937
312	62.56365365
313	62.54876983
314	62.5414653
315	62.51940971
316	62.50292456
317	62.47779584
318	62.47156268
319	62.46191388
320	62.25922444
321	62.23676488
322	62.22604558
323	62.21647805
324	62.19886225
325	62.19009219
326	62.17421748
327	62.15220598
328	62.1120374
329	62.05180027
330	61.99707186
331	61.98319253
332	61.96892635
333	61.91006232
334	61.89547869
335	61.75447778
336	61.72136536
337	61.71051352
338	61.70207728
339	61.68656749
340	61.67506558
341	61.66141605
342	61.56348268
343	61.55013799
344	61.54189845
345	61.51227078
346	61.4953243
347	61.45619528
348	61.44747541
349	61.43916177
350	61.43448714
351	61.35763989
352	61.35205973
353	61.34282206
354	61.33417474
355	61.3251152
356	61.30416842
357	61.2522324
358	61.2158127
359	61.15159854
360	61.09505664
361	61.08546927
362	61.07809279
363	61.06722469
364	60.78213339
365	60.77175804
366	60.76143845
367	60.75206461
368	60.74386772
369	60.73437208
370	60.72668386
371	60.70096028
372	60.6887364
373	60.66858049
374	60.5585546
375	60.54876693
376	60.50921428
377	60.44875853
378	60.42875524
379	60.41311902
380	60.40574486
381	60.39245307
382	60.38776127
383	60.38014625
384	60.37287493
385	60.36274899
386	60.35842787
387	60.3494175
388	60.34076892
389	60.3330551
390	60.24575998
391	60.19027959
392	60.16574166
393	60.15389671
394	60.06077284
395	60.04331311
396	59.99884063
397	59.97822779
398	59.97348461
399	59.95655906
400	59.88849574
401	59.87908542
402	59.87392458
403	59.85486038
404	59.8469069
405	59.84236396
406	59.77257414
407	59.76640305
408	59.76037905
409	59.75552774
410	59.73901417
411	59.65374294
412	59.64601429
413	59.63984577
414	59.52772192
415	59.51307914
416	59.50036473
417	59.47614642
418	59.41260286
419	59.36322569
420	59.35363232
421	59.34797645
422	59.32989873
423	59.3235435
424	59.31694687
425	59.3100942
426	59.30333207
427	59.29601939
428	59.29272675
429	59.28488
430	59.26785136
431	59.2575303
432	59.24114774
433	59.22594707
434	59.22178537
435	59.19865962
436	59.16645987
437	59.15980912
438	59.15122068
439	59.10388211
440	59.09862577
441	59.09222477
442	59.08523635
443	59.07034429
444	59.06721418
445	59.06113462
446	59.04586811
447	59.03764888
448	58.79992622
449	58.72051685
450	58.71276265
451	58.69874408
452	58.69214417
453	58.6861573
454	58.67416482
455	58.60324711
456	58.58997675
457	58.58445632
458	58.57715538
459	58.55655335
460	58.54923686
461	58.53100483
462	58.5018454
463	58.42729076
464	58.411747
465	58.35849846
466	58.34823778
467	58.34200398
468	58.27473456
469	58.2580389
470	58.23905058
471	58.23374553
472	58.22589842
473	58.21633007
474	58.18496393
475	58.16910304
476	58.16598063
477	58.12124208
478	58.11907527
479	58.09834113
480	58.05415444
481	58.01210011
482	57.99884781
483	57.97518315
484	57.97092566
485	57.96712162
486	57.95189273
487	57.94713953
488	57.94291318
489	57.90508173
490	57.83989517
491	57.82739812
492	57.76497848
493	57.71601398
494	57.7088656
495	57.6895647
496	57.68579947
497	57.64962968
498	57.61524183
499	57.6122016
500	57.59040074
501	57.57515092
502	57.56611667
503	57.55486889
504	57.54908857
505	57.42942693
506	57.40191322
507	57.39618304
508	57.39193373
509	57.38184501
510	57.37487752
511	57.36831147
512	57.36059882
513	57.34018772
514	57.33422833
515	57.32755567
516	57.32447528
517	57.30788241
518	57.28870214
519	57.28049583
520	57.23158131
521	57.21302835
522	57.19908784
523	57.19418493
524	57.15479875
525	57.14978053
526	57.14792959
527	57.11837076
528	57.11459251
529	57.09663366
530	57.08934551
531	57.08164944
532	57.07840958
533	57.05743147
534	57.05360335
535	57.0489573
536	56.98064439
537	56.97664427
538	56.97007305
539	56.95387267
540	56.93671767
541	56.93149295
542	56.91879385
543	56.91627356
544	56.90584453
545	56.90212136
546	56.89869356
547	56.84628507
548	56.83352781
549	56.82004059
550	56.81770796
551	56.81339528
552	56.80920757
553	56.802038
554	56.77229076
555	56.75693276
556	56.73417827
557	56.70958882
558	56.70425878
559	56.69043346
560	56.68161001
561	56.66763271
562	56.66534489
563	56.65372793
564	56.64453807
565	56.63356228
566	56.6246368
567	56.61093332
568	56.60806048
569	56.55669556
570	56.50898967
571	56.50186285
572	56.49460739
573	56.48446806
574	56.47928031
575	56.47352606
576	56.45475397
577	56.446877
578	56.4098435
579	56.39725634
580	56.37424634
581	56.33946181
582	56.32553481
583	56.32113197
584	56.30177459
585	56.29499977
586	56.28316943
587	56.27819487
588	56.25684451
589	56.24600253
590	56.24102754
591	56.20822602
592	56.20474984
593	56.20257008
594	56.19056857
595	56.17110062
596	56.07160801
597	56.06709513
598	56.06389963
599	56.03739013
600	56.02633389
601	56.01689822
602	56.01322782
603	56.01001555
604	56.00373064
605	55.99937712
606	55.99492136
607	55.98267036
608	55.97888202
609	55.95695437
610	55.93946408
611	55.90288654
612	55.89954855
613	55.88878787
614	55.86422695
615	55.85276771
616	55.84971372
617	55.84664535
618	55.83705991
619	55.83504062
620	55.82273954
621	55.81782984
622	55.8155373
623	55.78513334
624	55.78048726
625	55.7710385
626	55.76007025
627	55.75018781
628	55.71759303
629	55.70762355
630	55.70196896
631	55.70069256
632	55.67746864
633	55.65104452
634	55.62296568
635	55.62118556
636	55.61789436
637	55.60691169
638	55.60343464
639	55.59913628
640	55.58846032
641	55.57529863
642	55.56310573
643	55.5557987
644	55.54211295
645	55.54053921
646	55.53063661
647	55.52810631
648	55.52614876
649	55.51758091
650	55.49807716
651	55.48897131
652	55.47668033
653	55.46921007
654	55.46796
655	55.44040924
656	55.4373752
657	55.43423199
658	55.43092095
659	55.41812288
660	55.37897509
661	55.37713922
662	55.37543965
663	55.37367454
664	55.36986465
665	55.3663965
666	55.35466149
667	55.34197294
668	55.33134301
669	55.32929307
670	55.30127243
671	55.29542665
672	55.29249597
673	55.29021449
674	55.28685215
675	55.27868024
676	55.26874024
677	55.26393296
678	55.2627825
679	55.25930388
680	55.24968857
681	55.24088478
682	55.2228837
683	55.21882654
684	55.15487561
685	55.15091756
686	55.14558002
687	55.14226094
688	55.1208522
689	55.07605125
690	55.06605972
691	55.06109516
692	55.04741412
693	55.04166049
694	55.03412946
695	55.02538576
696	55.01588521
697	55.01490944
698	54.99755308
699	54.91010518
700	54.84176258
701	54.84026935
702	54.83331705
703	54.81784515
704	54.81483252
705	54.80748363
706	54.80623861
707	54.80527329
708	54.75703736
709	54.74947841
710	54.73911015
711	54.72923573
712	54.65450726
713	54.64633454
714	54.6265568
715	54.62492184
716	54.61552084
717	54.5927352
718	54.58990227
719	54.58171277
720	54.57314483
721	54.57160297
722	54.56305459
723	54.55429808
724	54.55163443
725	54.54756693
726	54.54198331
727	54.53608352
728	54.4972456
729	54.49302006
730	54.4910139
731	54.47536984
732	54.47274428
733	54.47000223
734	54.46475185
735	54.46317655
736	54.43872412
737	54.41195206
738	54.38642123
739	54.37943044
740	54.37626619
741	54.37118898
742	54.34847938
743	54.33640456
744	54.32584242
745	54.32465901
746	54.31684135
747	54.29374593
748	54.29052167
749	54.28295515
750	54.2815544
751	54.27154736
752	54.24817474
753	54.24386098
754	54.23662122
755	54.22569487
756	54.22159536
757	54.22025671
758	54.21668504
759	54.2133784
760	54.21017699
761	54.14862168
762	54.1471227
763	54.13606624
764	54.10658778
765	54.09620677
766	54.09333879
767	54.08851119
768	54.07929999
769	54.07724358
770	54.07470404
771	54.06170386
772	54.04958988
773	54.04541124
774	54.03381196
775	54.00627167
776	53.96485793
777	53.91706287
778	53.91383966
779	53.90916686
780	53.90689314
781	53.90543884
782	53.8931281
783	53.89098388
784	53.88807685
785	53.84787779
786	53.84513241
787	53.8335942
788	53.8283063
789	53.82282774
790	53.78165376
791	53.7733425
792	53.76717193
793	53.76463032
794	53.76157342
795	53.75192435
796	53.73070858
797	53.71296503
798	53.71200477
799	53.70576368
800	53.70402325
801	53.70272098
802	53.70133065
803	53.69016756
804	53.6847818
805	53.68307794
806	53.67998262
807	53.6303802
808	53.62513813
809	53.61615869
810	53.60635977
811	53.60101482
812	53.59436948
813	53.58450888
814	53.57557868
815	53.41355455
816	53.37301006
817	53.36518282
818	53.3632814
819	53.36235253
820	53.36060619
821	53.34953736
822	53.32659094
823	53.31830451
824	53.30970625
825	53.29642927
826	53.29236201
827	53.29168403
828	53.28761597
829	53.286509
830	53.28501804
831	53.28262006
832	53.2776439
833	53.26913745
834	53.26750285
835	53.25249974
836	53.234179
837	53.23052305
838	53.21995713
839	53.21109109
840	53.20096345
841	53.19425607
842	53.19077303
843	53.1813035
844	53.17116689
845	53.16775124
846	53.15889298
847	53.13857424
848	53.13567444
849	53.12690968
850	53.11606862
851	53.05715303
852	53.05502707
853	52.94603902
854	52.91836748
855	52.91751883
856	52.91169729
857	52.91048505
858	52.90012751
859	52.89216544
860	52.89070767
861	52.88402343
862	52.88156736
863	52.8794953
864	52.87222383
865	52.86453287
866	52.85850614
867	52.85681603
868	52.85268961
869	52.84430812
870	52.83835941
871	52.83709425
872	52.836033
873	52.83452928
874	52.83308378
875	52.80906481
876	52.79382394
877	52.76269489
878	52.74160747
879	52.6524056
880	52.65105439
881	52.57859328
882	52.55867168
883	52.55668469
884	52.51672655
885	52.49215349
886	52.48956012
887	52.45160244
888	52.44964729
889	52.44214842
890	52.4364438
891	52.43500778
892	52.42817391
893	52.42649725
894	52.42531142
895	52.42239526
896	52.42101456
897	52.41872596
898	52.39513279
899	52.38906384
900	52.38453078
901	52.38344438
902	52.37789096
903	52.24646049
904	52.23758115
905	52.23160965
906	52.22839124
907	52.22106019
908	52.21405529
909	52.21269037
910	52.2113641
911	52.20883084
912	52.20436238
913	52.17821561
914	52.17725722
915	52.16925767
916	52.162206
917	52.11200314
918	52.07491643
919	52.07321807
920	52.06514876
921	52.05590062
922	52.05391927
923	51.93111894
924	51.9288135
925	51.91002546
926	51.90933784
927	51.81570048
928	51.77502519
929	51.76608576
930	51.75859856
931	51.75579848
932	51.75366328
933	51.72813732
934	51.72446968
935	51.72276955
936	51.71986485
937	51.714855
938	51.68337887
939	51.66141308
940	51.65910941
941	51.65767284
942	51.65313937
943	51.65170325
944	51.64948976
945	51.6428115
946	51.63457643
947	51.63217831
948	51.62162446
949	51.619231
950	51.61580801
951	51.61435972
952	51.6073901
953	51.60593774
954	51.59545393
955	51.59278843
956	51.5880781
957	51.58450095
958	51.58033829
959	51.5796035
960	51.57486603
961	51.57405983
962	51.54718772
963	51.54062117
964	51.5391391
965	51.53483866
966	51.53361582
967	51.52738187
968	51.52357803
969	51.52103174
970	51.51813066
971	51.5135368
972	51.51104381
973	51.49367889
974	51.48781487
975	51.48367716
976	51.4676483
977	51.46721755
978	51.44816118
979	51.43270704
980	51.40640691
981	51.40441359
982	51.39764751
983	51.38928007
984	51.38230076
985	51.35776207
986	51.35605207
987	51.35089178
988	51.3433834
989	51.34221337
990	51.33901341
991	51.33590892
992	51.32686346
993	51.32313699
994	51.31839633
995	51.31190635
996	51.29238357
997	51.28567047
998	51.28255281
999	51.274475
